Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base,User-perceived ANR rate,User-perceived crash rate,Excessive battery usage (watch face)
COMBUSTECH,rk3588_t,COMBUSTECH,COMBUSTECH-IFPD,33094MB,Tablet,Rockchip RK3588,4x ARM Mali G610 (1000 MHz),2160x3840,480,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
Siragon,Siragon_SP_7300,Siragon,Siragon_SP_7300,8148MB,Phone,Mediatek MT6789V/CD,2x ARM Mali G57 (1068 MHz),1080x2460,480,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
Ckypad,Ctab12_EEA,Ckypad,Ctab12_EEA,8139MB,Tablet,Spreadtrum T616,ARM Mali G57 (750 MHz),1200x2000,320,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
Lenovo,YT3-X50F,Lenovo,YOGA Tab 3 10”,2008MB,Tablet,Qualcomm APQ8009,Qualcomm Adreno 304 (400 MHz),800x1280,213,armeabi;armeabi-v7a,23,3.0,0,0.00%,0.00%,0.00%
bq,Aquaris_E5,bq,Aquaris E5,2004MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,armeabi;armeabi-v7a,23,3.0,0,0.00%,0.00%,0.00%
Intelligen,IN-101,Intelligen,IN-101,3926MB,Tablet,Spreadtrum T606,ARM Mali G57 (650 MHz),1200x1920,320,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
coolpad,CP32,Coolpad,CP32,6077MB,Phone,Mediatek MT6765,Imagination Tech PowerVR GE8320 (680 MHz),720x1612,320,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
BLOW,KidsTAB10_4G_EEA,BLOW,KidsTAB10_4G_EEA,3926MB,Tablet,Spreadtrum T606,ARM Mali G57 (650 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
samsung,jfltecan,Samsung,Galaxy S4,1878MB,Phone,Qualcomm APQ8064,Qualcomm Adreno 320 (400 MHz),1080x1920,480,armeabi;armeabi-v7a,21,3.0,0,0.00%,0.00%,0.00%
RCA,RCARENO5011619,RCA,RCARENO5011619,914MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),480x960,213,armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
ZTE,P618A11,ZTE,ZTE A2022L,5769MB,Phone,Spreadtrum T618,2x ARM Mali G52 (850 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
bush,ac101boxv2,Bush,BUSH SPIRA B3 10 TABLET,2055MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,24,3.1,0,0.00%,0.00%,0.00%
DEXP,K51,DEXP,K51,2996MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Elo,15in-I-Series-4-USBC-V,ELO Touch,15in-I-Series-4-USBC-V,4027MB,Tablet,Rockchip RK3399,ARM Mali T860 (600 MHz),1080x1920,240,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
Greentel,X2,Greentel,X2,1996MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),720x1280,300,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Cyrus,CM17XA,Cyrus,CM17XA_EEA,2022MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),320x480,160,armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
OWN,OWN_SMART_9,OwnMobile,SMART 9,2989MB,Phone,Qualcomm MSM8940,Qualcomm Adreno 505 (450 MHz),720x1528,280,arm64-v8a;armeabi;armeabi-v7a,26,3.2,0,0.00%,0.00%,0.00%
